iso,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CMR,467782,480681,493144,505209,516882,528128,538919,549362,559633,569927,580510,591652,603525,616242,629859,644420,659900,676068,692651,709423,726154,742647,758763,774360,789291,803400,816587,828937,840586,851649,862280,872649,882940
CAN,369951,372524,375643,379121,382607,385347,386444,385359,381901,376220,368706,359999,351119,343050,336474,332160,330681,331880,335400,340913,347838,355440,362924,369616,375107,379160,381803,383469,384555,385216,385607,385857,386036
CAF,107396,109916,112289,114569,116797,119058,121448,124035,126857,129916,133198,136660,140206,143738,147186,150508,153688,156716,159557,162149,164395,166198,167527,168384,168795,168775,168354,167648,166812,165994,165383,165154,165388
TCD,257857,266041,274837,284201,294108,304507,315336,326529,338038,349833,361952,374470,387425,400801,414522,428489,442590,456691,470658,484384,497757,510700,523247,535456,547369,559074,570680,582291,593986,605801,617745,629790,641853
CHL,279283,283305,287414,291209,294342,296369,296901,295874,293353,289445,284327,278272,271746,265237,259127,253820,249620,246536,244511,243519,243500,244324,245673,247190,248582,249472,249525,248660,246898,244303,241111,237674,234365
CHN,25460177,26348512,26802126,26737190,26145316,25107262,23783492,22403744,21156546,20129734,19362521,18832447,18441259,18110271,17822051,17570664,17361679,17208241,17116205,17078665,17089922,17144153,17229510,17330921,17433109,17521076,17583088,17613414,17606394,17555089,17451380,17290124,17077819
COL,863138,868456,875097,882957,891669,900387,908013,913561,916364,916213,913372,908524,902604,896284,889711,882516,874000,863596,851137,836952,821688,806201,791451,778247,767064,758302,752090,747911,745155,743394,742107,740777,738971
COM,16186,16510,16801,17067,17313,17546,17774,18004,18241,18492,18760,19048,19351,19668,20000,20346,20706,21080,21466,21860,22263,22676,23096,23518,23936,24340,24719,25069,25386,25669,25920,26143,26350
COG,80944,82428,84030,85762,87649,89727,92025,94550,97296,100251,103392,106690,110104,113599,117151,120769,124476,128286,132184,136128,140073,143969,147758,151376,154768,157847,160538,162847,164822,166523,168043,169492,170992
CRI,81450,82943,84131,84980,85472,85616,85444,85031,84440,83709,82837,81798,80587,79230,77789,76351,75010,73838,72886,72185,71751,71571,71572,71678,71835,71990,72097,72130,72066,71880,71553,71082,70493
CIV,450694,463320,476282,489586,503279,517501,532405,547980,564110,580615,597261,613789,629907,645334,659841,673093,684805,695077,704174,712406,720255,728277,736982,746778,757912,770529,784594,799732,815559,831851,848365,864893,881314
HRV,63163,61697,59945,58000,55959,53989,52279,50929,49976,49399,49056,48730,48223,47420,46325,45061,43838,42873,42304,42142,42315,42677,43025,43197,43127,42790,42214,41501,40736,39951,39167,38391,37614
CUB,175723,178583,179890,179488,177341,173769,169386,164984,161161,158129,155868,154127,152438,150451,148081,145282,142093,138719,135377,132216,129480,127416,126085,125447,125396,125680,125966,125934,125358,124151,122336,120051,117569
CYP,14464,14496,14526,14571,14628,14678,14692,14642,14513,14307,14030,13701,13351,13011,12703,12449,12267,12156,12109,12123,12189,12295,12420,12546,12658,12748,12810,12848,12862,12849,12803,12718,12597
CZE,133899,132086,130964,129926,128658,126728,123757,119749,114871,109342,103589,98156,93578,90266,88428,88223,89647,92302,95729,99586,103425,106812,109509,111373,112335,112506,112153,111651,111276,111106,111102,111117,110936
PRK,398510,401580,404797,409143,414566,420643,426666,431745,435182,436674,436099,433587,429636,424698,418980,412501,405163,396988,388184,379126,370336,362356,355570,350252,346558,344559,344164,344945,346449,348361,350361,352190,353713
COD,1384821,1423849,1466149,1511903,1561046,1613240,1667900,1724153,1781217,1838628,1895860,1952560,2008991,2065591,2122749,2181201,2241807,2305186,2371695,2441387,2514269,2590136,2668149,2747321,2826819,2905653,2982937,3058271,3131420,3202225,3270749,3337327,3402717
DNK,54056,55254,56859,58692,60611,62457,64090,65447,66481,67154,67451,67401,67111,66687,66194,65721,65346,65085,64927,64852,64764,64528,64056,63319,62359,61288,60269,59465,58993,58899,59184,59797,60607
DJI,18200,19093,19996,20881,21715,22439,22992,23346,23498,23462,23287,23041,22797,22608,22498,22459,22458,22443,22377,22255,22086,21892,21704,21543,21418,21325,21258,21197,21129,21046,20948,20833,20707
DOM,204494,205785,207140,208542,209939,211222,212259,212960,213280,213224,212850,212258,211583,210937,210374,209903,209491,209076,208625,208156,207719,207379,207186,207159,207288,207559,207941,208359,208725,208967,208994,208723,208134
ECU,292633,295675,298575,301311,303879,306350,308832,311384,313999,316604,319024,321036,322480,323276,323434,323019,322156,321080,320020,319139,318599,318517,318881,319658,320835,322386,324261,326333,328465,330539,332442,334090,335447
EGY,1866379,1882313,1888688,1886006,1875305,1858675,1838928,1819281,1802453,1790047,1782506,1779104,1778239,1778995,1781759,1786597,1793598,1803908,1819228,1841407,1875063,1925411,1993552,2077703,2173997,2275296,2372817,2458520,2526424,2573696,2599718,2606824,2601731
SLV,166220,165500,165058,164851,164831,164926,165040,165024,164728,164032,162754,160733,157980,154591,150689,146487,142244,138212,134596,131513,129006,127023,125394,123975,122718,121613,120681,119942,119383,118953,118588,118219,117785
GNQ,14715,15381,16013,16610,17171,17708,18242,18800,19405,20067,20790,21570,22394,23251,24138,25056,26008,26998,28022,29075,30151,31243,32343,33441,34529,35601,36651,37681,38692,39683,40658,41623,42580
ERI,90582,92120,93032,93246,92737,91422,89249,86399,83157,79824,76820,74572,73353,73341,74619,77247,81174,86031,91379,96860,102023,106447,109925,112338,113623,113832,113152,111950,110564,109184,107941,106884,105963
EST,24156,24172,23850,23166,22140,20837,19362,17861,16467,15258,14295,13596,13115,12809,12667,12688,12872,13195,13614,14082,14533,14901,15152,15265,15233,15075,14828,14554,14299,14085,13922,13807,13714
ETH,1994648,2049401,2105783,2163839,2223567,2285766,2351491,2420716,2492561,2565523,2637152,2704671,2765916,2819396,2864462,2900774,2928766,2950769,2969391,2986620,3004759,3025856,3050901,3080554,3115332,3155359,3200139,3248034,3297392,3347147,3396413,3444610,3491463
FJI,22015,21850,21674,21517,21392,21300,21230,21155,21060,20939,20794,20629,20456,20283,20115,19949,19783,19614,19444,19279,19134,19025,18960,18941,18964,19018,19090,19157,19204,19219,19191,19114,18995
FIN,63294,62991,62920,63090,63465,63915,64261,64342,64063,63415,62450,61278,60076,58998,58127,57539,57275,57282,57491,57856,58321,58825,59297,59659,59849,59784,59402,58717,57766,56593,55261,53853,52460
FRA,773739,771573,767058,761167,754442,747595,741358,736286,732823,731271,731807,734373,738466,743569,749363,755609,762145,768798,775310,781349,786660,791085,794525,796809,797684,796619,793061,786991,778703,768679,757770,746994,737254
