iso,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NER,390393,400737,411494,422836,434858,447623,461134,475313,490091,505454,521386,537876,554911,572477,590554,609108,628101,647531,667421,687803,708754,730366,752700,775781,799594,824057,849043,874452,900239,926428,953109,980419,1008502
NGA,3825809,3900870,3976650,4054089,4134071,4217441,4304812,4396331,4492120,4592413,4697555,4807769,4922618,5041425,5163508,5288000,5414013,5540827,5667831,5794574,5921406,6049168,6178358,6308788,6439527,6568646,6693840,6813583,6927161,7034728,7137187,7236151,7334051
NOR,52799,53925,55110,56284,57377,58323,59081,59651,60040,60239,60228,59988,59558,58998,58377,57803,57397,57221,57301,57631,58151,58766,59351,59810,60099,60189,60083,59850,59562,59266,59029,58916,58957
PSE,79183,82210,85660,89443,93457,97565,101622,105482,109016,112124,114697,116671,118120,119156,119874,120410,120911,121513,122326,123428,124893,126761,128934,131287,133714,136036,138058,139671,140828,141541,141909,142100,142314
OMN,68814,69990,70705,70965,70786,70203,69267,68073,66717,65272,63755,62148,60454,58729,57079,55637,54540,53889,53765,54225,55328,57099,59443,62237,65377,68801,72470,76280,80068,83639,86724,89069,90568
PAK,3897911,4017755,4133635,4243436,4345397,4438016,4520570,4593946,4659148,4716651,4766586,4809062,4845145,4876456,4904801,4931971,4959502,4988662,5020825,5057419,5099816,5148860,5204103,5264901,5330892,5402686,5481070,5564870,5651651,5738326,5820338,5892899,5952960
PAN,62956,63363,63761,64146,64528,64933,65397,65941,66571,67277,68025,68767,69459,70075,70607,71070,71491,71915,72376,72887,73464,74112,74812,75536,76259,76945,77550,78053,78442,78718,78902,79027,79134
PNG,150393,152056,153847,155852,158139,160811,163957,167547,171503,175728,180069,184346,188401,192117,195432,198341,200904,203256,205504,207687,209810,211851,213774,215569,217258,218876,220465,222065,223716,225442,227263,229186,231187
PRY,132862,135140,137097,138773,140191,141412,142511,143530,144481,145340,145996,146297,146155,145558,144571,143351,142109,141045,140301,139930,139901,140104,140369,140570,140673,140701,140724,140828,141065,141427,141879,142363,142801
PER,666023,671042,674877,677274,678065,677030,674030,669305,663223,656143,648450,640522,632766,625609,619447,614914,612588,612367,613832,616437,618998,620079,618731,614527,607597,598767,589371,580934,574574,570682,569290,569974,571665
PHL,1900154,1932479,1963210,1991984,2018811,2043990,2068080,2091859,2115967,2140717,2166814,2194918,2224651,2255102,2285144,2312567,2334828,2350485,2359031,2360860,2358174,2354231,2351797,2352312,2355492,2358480,2356951,2347499,2328692,2301517,2269330,2237041,2209720
POL,657850,639904,620732,601573,583049,565148,547302,528696,508935,488299,467154,445985,425617,406943,390712,378094,370183,367016,368114,372759,379540,386690,392606,396133,396779,394749,390907,386646,382995,380201,378153,376406,374249
PRT,130257,125495,121380,117926,115179,113160,111844,111095,110762,110736,110935,111305,111791,112303,112726,112933,112822,112355,111511,110269,108605,106522,104107,101468,98697,95894,93145,90518,88077,85883,83986,82404,81097
PRI,63109,62570,62190,61914,61703,61487,61189,60756,60154,59377,58445,57408,56337,55288,54285,53348,52481,51651,50818,49951,49017,47987,46832,45525,44036,42298,40238,37869,35251,32473,29665,26975,24541
QAT,10446,10548,10582,10578,10553,10522,10493,10472,10468,10496,10568,10693,10873,11112,11419,11798,12249,12770,13363,14032,14801,15700,16731,17877,19102,20359,21593,22747,23777,24649,25342,25853,26214
KOR,705519,680493,662803,654569,655667,664131,676428,687797,694356,694269,686272,670288,648579,623520,596527,569299,543444,520010,499829,483544,471632,464097,459815,457507,456249,454726,451630,446316,438504,428193,415861,402413,389140
MDA,92157,91791,90375,87940,84592,80575,76222,71895,67884,64335,61243,58463,55773,53046,50325,47764,45586,43969,43005,42672,42875,43444,44141,44759,45181,45330,45192,44849,44378,43797,43131,42409,41653
ROU,373267,372122,367182,357103,341900,322672,301422,280794,262887,248611,238235,231273,226366,222425,219145,216601,215136,215039,216294,218521,220994,222852,223462,222449,219743,215637,210728,205819,201523,198053,195395,193303,191330
RUS,2422059,2399064,2342554,2253605,2136362,1998860,1851946,1708638,1580343,1474216,1395280,1344629,1316645,1305913,1310266,1327371,1354942,1390517,1431484,1475433,1521363,1569504,1620230,1672765,1724897,1773943,1817283,1852947,1879256,1894899,1898580,1889738,1870029
RWA,323779,328427,329997,328423,323982,317287,309231,301023,293765,288169,284869,284185,285739,289071,293922,299906,306568,313415,320003,326020,331180,335340,338730,341636,344261,347019,350394,354655,359887,365993,372626,379267,385366
LCA,4042,4022,4000,3971,3933,3887,3832,3770,3703,3628,3543,3443,3326,3195,3053,2908,2768,2642,2535,2449,2387,2344,2315,2294,2278,2264,2252,2243,2236,2230,2223,2213,2200
WSM,5634,5594,5550,5505,5462,5424,5397,5381,5378,5385,5396,5406,5407,5397,5375,5347,5320,5301,5294,5299,5309,5318,5316,5298,5264,5213,5150,5083,5016,4955,4902,4858,4823
STP,4325,4409,4495,4581,4669,4756,4843,4927,5010,5092,5175,5261,5353,5451,5554,5661,5769,5876,5979,6075,6162,6239,6307,6365,6415,6456,6489,6516,6538,6558,6579,6603,6631
SAU,533820,546772,557633,566633,573727,578575,580749,580248,577393,572731,567051,561236,556126,552435,550644,551121,553943,558578,564446,571183,578426,585849,593116,599851,605680,610250,613337,614981,615251,614142,611707,608066,603430
SEN,297473,301775,306243,311058,316301,321985,328051,334349,340750,347206,353627,359929,366145,372365,378703,385371,392616,400602,409410,419036,429474,440665,452350,464218,475992,487304,497810,507369,515935,523518,530231,536293,542052
SRB,155138,153223,150978,148401,145548,142540,139526,136634,133951,131501,129250,127102,124930,122641,120212,117660,115035,112416,109864,107396,104985,102577,100133,97654,95181,92814,90677,88854,87383,86248,85381,84668,83974
SYC,1765,1744,1724,1705,1686,1669,1649,1626,1600,1572,1547,1528,1517,1518,1529,1550,1577,1608,1637,1663,1682,1694,1698,1696,1689,1678,1666,1655,1647,1641,1636,1631,1621
SLE,181605,185322,188698,191664,194164,196078,197298,197899,198052,197960,197946,198362,199466,201427,204314,208160,212899,218226,223793,229331,234491,238946,242572,245325,247213,248367,249028,249517,250100,250898,251962,253249,254608
SGP,46972,48566,50198,51829,53379,54744,55824,56565,56933,56913,56485,55653,54505,53157,51712,50293,49016,47953,47159,46679,46545,46758,47235,47879,48617,49353,49993,50485,50797,50913,50855,50676,50456
SVK,89134,87526,85864,84087,82175,80058,77652,74948,71991,68863,65683,62587,59721,57215,55164,53667,52785,52447,52553,53018,53716,54513,55286,55941,56413,56697,56838,56926,57019,57115,57182,57171,57030
SVN,26995,26253,25405,24462,23456,22436,21456,20566,19802,19182,18700,18326,18019,17755,17535,17391,17371,17506,17803,18242,18790,19397,20001,20547,20994,21309,21479,21521,21459,21303,21067,20768,20429
SLB,11278,11539,11799,12049,12287,12509,12714,12909,13097,13285,13479,13687,13913,14158,14423,14702,14988,15273,15556,15837,16128,16442,16789,17174,17593,18041,18508,18979,19437,19872,20268,20616,20916
SOM,308768,316452,323697,330815,337995,345398,353115,361121,369393,377959,386816,395929,405234,414678,424246,433974,443927,454125,464537,475084,485553,495686,505366,514600,523503,532323,541390,551047,561565,573081,585672,599311,613766
ZAF,1138658,1145066,1145522,1140730,1131369,1118343,1102750,1086073,1069816,1055194,1043099,1033933,1027516,1023835,1023294,1026739,1035023,1048046,1065174,1085489,1107673,1130216,1151583,1170415,1185758,1196894,1203621,1206745,1207107,1205149,1201363,1196241,1190279
SSD,246507,250658,253410,254674,254540,253251,251201,248997,247218,246256,246433,247915,250596,254375,259266,265325,272582,280890,290021,299738,309834,320136,330430,340446,349891,358409,365701,371721,376511,380132,382718,384479,385758
ESP,461936,445301,431448,419860,410384,402625,396081,390410,385467,381325,378347,377088,378097,381733,388060,397529,410583,426662,444665,463267,480366,493695,501856,504104,500329,491144,477892,462749,447631,433585,421321,411009,402058
LKA,386055,378951,372102,366025,361000,357061,353996,351396,348987,346775,344932,343729,343393,344023,345561,347910,350907,354228,357525,360513,362876,364356,364911,364557,363309,361301,358753,355925,353013,350086,347069,343784,340066
VCT,2861,2814,2770,2731,2695,2662,2630,2594,2554,2509,2458,2402,2341,2279,2217,2157,2102,2051,2007,1968,1934,1901,1869,1835,1800,1763,1727,1693,1663,1637,1615,1597,1582
SDN,740639,759033,779313,801614,825813,851527,878156,904884,930994,956064,979854,1002362,1023880,1044623,1064577,1083672,1101823,1119006,1135252,1150634,1165194,1178972,1192118,1204840,1217360,1229899,1242641,1255713,1269251,1283402,1298280,1313930,1330283
SUR,10977,11035,11098,11168,11240,11306,11357,11387,11395,11380,11348,11307,11267,11233,11208,11190,11172,11148,11113,11068,11016,10964,10919,10884,10860,10846,10839,10833,10823,10806,10783,10752,10716
SWZ,31332,31427,31511,31627,31787,31981,32181,32345,32446,32483,32461,32398,32323,32260,32226,32244,32337,32498,32706,32937,33139,33250,33232,33066,32759,32347,31885,31439,31057,30757,30532,30351,30171
SWE,101318,104696,108276,111732,114742,116778,117314,116229,113624,109737,105079,100329,96182,93176,91572,91472,92749,94912,97501,100277,103008,105528,107801,109798,111459,112772,113781,114602,115332,116010,116674,117349,118014
CHE,75557,76478,77461,78491,79504,80419,81163,81688,81957,81944,81598,80886,79862,78624,77274,75958,74826,73989,73529,73491,73890,74697,75792,77057,78414,79795,81150,82455,83682,84792,85756,86565,87236
SYR,436729,440575,443096,444582,445440,446399,448295,451684,456860,463844,472200,481172,489951,498026,505345,512716,521383,532036,544613,558289,571264,581267,586448,585655,578641,565599,547384,526115,503954,482411,463072,447161,434908
TJK,196402,202340,206953,210099,211729,211898,210806,208880,206534,204038,201523,199006,196488,194087,192055,190747,190514,191538,193901,197618,202654,208882,215957,223506,231239,238952,246532,253886,260843,267145,272411,276278,278668
TZA,982164,1008272,1034834,1061632,1088538,1115288,1141618,1167571,1193354,1219256,1245769,1273462,1302809,1334146,1367629,1403491,1441850,1482232,1523951,1566343,1608356,1648886,1687343,1723485,1757367,1789458,1820588,1851896,1884332,1918382,1954283,1991955,2030917
MKD,39181,38497,37740,36948,36136,35299,34414,33465,32453,31401,30348,29345,28428,27624,26940,26358,25840,25344,24845,24344,23870,23469,23177,23015,22972,23024,23131,23239,23306,23304,23216,23040,22796
THA,1153769,1136649,1121259,1107444,1094920,1083054,1071016,1058046,1043611,1027522,1009741,990484,970451,950354,930671,911978,894773,879172,865166,852707,841520,831158,821107,810979,800630,790165,779880,770112,761026,752533,744333,736008,727190
TLS,26781,27524,28353,29272,30253,31233,32135,32900,33494,33913,34199,34423,34657,34947,35294,35658,35971,36163,36191,36050,35748,35311,34805,34306,33869,33574,33491,33636,33997,34554,35250,36010,36746
TGO,145339,147937,150242,152294,154174,156018,157995,160269,162975,166192,169993,174403,179310,184573,190076,195689,201279,206741,211972,216888,221424,225559,229358,232889,236183,239267,242161,244909,247568,250202,252873,255630,258500
TON,3131,3081,3037,3005,2986,2977,2971,2958,2935,2901,2861,2820,2788,2768,2763,2772,2793,2820,2847,2871,2887,2893,2888,2873,2847,2813,2771,2726,2680,2637,2598,2565,2540
TTO,31186,30225,29070,27819,26541,25289,24097,22974,21936,21014,20242,19639,19198,18905,18748,18718,18800,18966,19183,19420,19652,19859,20033,20163,20234,20232,20149,19992,19771,19492,19161,18785,18377
TUN,229423,228529,226522,223386,219207,214157,208491,202574,196750,191254,186215,181642,177457,173652,170342,167663,165742,164663,164495,165291,167247,170566,175150,180721,186914,193191,198964,203761,207218,209127,209413,208195,205904
TUR,1485607,1465994,1445534,1426062,1408807,1395075,1385750,1380390,1378244,1378702,1380596,1382481,1383068,1381434,1377189,1370333,1361352,1351407,1341553,1332339,1324219,1317436,1311886,1307490,1304318,1302629,1302678,1304274,1306982,1310255,1313260,1315093,1315100
TKM,119040,122454,125632,128329,130353,131400,131191,129743,127210,123810,119911,115963,112399,109566,107658,106686,106478,106736,107267,108084,109446,111724,115096,119517,124732,130242,135422,139712,142709,144241,144319,143159,141263
UGA,726055,752247,779506,807671,836543,865867,895382,924893,954241,983315,1012049,1040458,1068717,1097010,1125447,1154274,1183756,1213946,1244758,1276011,1307434,1338696,1369395,1399147,1427672,1454639,1479810,1503315,1525398,1546290,1566458,1586467,1606708
UKR,742433,729942,713570,693670,670627,644710,616224,586018,555214,524953,496336,470240,447229,427911,412993,403533,400428,403310,411276,423279,437905,453575,468620,481489,491010,496164,496471,492644,485522,475589,463469,449859,435568
ARE,41771,43480,44917,46105,47057,47762,48205,48431,48520,48565,48658,48878,49310,50055,51212,52933,55356,58471,62207,66463,71126,76058,81048,85864,90301,94117,97112,99275,100656,101310,101386,101092,100665
GBR,755073,765739,773464,778141,779608,778050,774006,768411,762061,755338,747957,739253,728994,717565,705949,696120,690387,690122,695850,707257,723204,741839,760618,777325,790684,799640,803774,804032,801481,796744,790793,784714,779333
USA,3740666,3792032,3839352,3882804,3921192,3951752,3971414,3979520,3977056,3966176,3951072,3936951,3928439,3928823,3939449,3961073,3992966,4030834,4069877,4106485,4135332,4151205,4152330,4138737,4111596,4073883,4030096,3986281,3947817,3918023,3899711,3894135,3899175
URY,54686,55045,55525,56047,56552,56973,57253,57373,57326,57108,56736,56247,55692,55116,54536,53943,53308,52610,51847,51047,50261,49554,48973,48547,48282,48164,48160,48211,48261,48281,48246,48144,47987
UZB,659687,674569,687858,699024,707417,711943,711504,705903,695439,680712,662410,641412,619280,597772,578438,563136,553431,549575,551386,558592,570482,585914,603145,620531,636968,651789,664853,676478,686710,695082,700791,703014,701524
VUT,4886,4962,5044,5133,5228,5327,5425,5520,5611,5695,5777,5856,5938,6025,6119,6223,6338,6462,6594,6734,6881,7034,7191,7350,7509,7664,7815,7960,8098,8228,8350,8461,8563
VEN,536994,544862,551598,556905,560719,563141,564443,565130,565656,566276,567200,568533,570180,572044,574107,576338,578685,581038,583274,585292,587143,588947,590669,592120,592983,592586,590158,585357,578182,568916,558058,546303,534641
VNM,1867149,1890745,1912725,1931283,1943907,1945474,1930327,1896539,1844789,1777748,1700570,1620061,1543850,1478384,1427485,1393687,1377164,1373892,1379875,1393103,1411463,1433066,1456383,1479864,1502001,1522176,1540635,1558066,1574537,1589149,1600238,1605951,1605349
YEM,523980,544258,565334,586745,607816,627394,644229,657676,667523,673935,677537,679346,680730,682860,686388,691681,698714,706942,715928,725606,736086,747556,760005,773241,786925,800563,813617,825645,836308,845406,852888,858892,863806
ZMB,322952,331782,340558,349236,357843,366467,375243,384319,393801,403730,414175,425177,436626,448349,460170,471807,482956,493452,503221,512276,520793,529064,537393,545982,554864,563827,572509,580654,588204,595335,602471,610172,618927
ZWE,361860,366587,370411,373027,374404,374630,373933,372766,371570,370632,370133,370134,370621,371658,373427,376216,380312,385794,392622,400689,410061,420809,432545,444620,456287,466336,473492,477148,477132,473623,467254,459048,450407
